Date,daily_returns,realized_volatility
2023-10-22,0.585692208956774,-1.296679270537485
2023-10-23,1.770255951098409,-0.8855021815888786
2023-10-24,0.28764966727760016,-0.889077491811722
2023-10-25,0.019451235991389697,-0.9644960103537145
2023-10-26,0.24410853323653295,-0.9913322845401903
2023-10-27,-0.41974829985669243,-0.9706511304285563
2023-10-28,-0.08577975663238768,-0.9689986258799258
2023-10-29,0.2835475375762123,-1.13432238509196
2023-10-30,0.20854378775513485,-1.1601617349819338
2023-10-31,0.07407687166208751,-1.1669191575876252
2023-11-01,0.46584564339219214,-1.2396762699207478
2023-11-02,-0.7678917635795853,-1.100310285039002
2023-11-03,0.4953674695022661,-1.0930765450975946
2023-11-04,0.36968503800327684,-1.0958518211218888
2023-11-05,0.5469699881138985,-1.1223205000893062
2023-11-06,0.05878503839389077,-1.2381919195824655
2023-11-07,-0.21026811220101477,-1.220721600919151
2023-11-08,-0.010621763452097548,-1.217149000399667
2023-11-09,3.564215367653368,-0.1093796898673383
2023-11-10,-0.6145189088218385,-0.030168993075417122
2023-11-11,-0.3905663923360506,0.004535629602117313
2023-11-12,-0.13691003441681468,-0.1749898094867997
2023-11-13,0.11543024955546485,-0.1751887492949198
2023-11-14,-1.1179800908923394,-0.04036519807932687
2023-11-15,1.177701702786995,0.0422782595057225
2023-11-16,-1.4474815016300724,0.21284833397546019
2023-11-17,-0.023275704063265748,0.21113685697895884
2023-11-18,0.0007513451938888656,0.2104171678210611
2023-11-19,0.71727485373129,0.2353437356727715
2023-11-20,0.1025075769304438,0.23511103379778486
2023-11-21,-1.2658420904359307,0.35990867090283873
2023-11-22,1.9011276080520563,0.5214918110911729
2023-11-23,-0.060748468724129284,0.5185495250113441
2023-11-24,0.2404212368978589,0.5160519552121192
2023-11-25,0.01675248602674744,0.5062638113300961
2023-11-26,-0.3268384602275385,0.5194448400387022
2023-11-27,-0.5396593097724981,0.5404305304957665
2023-11-28,0.2881952339735399,0.5418675426745521
2023-11-29,-0.30731822027043154,-0.43868239679847804
2023-11-30,0.2980163311658505,-0.45579784321150946
2023-12-01,0.4654411735581772,-0.44689726184573875
2023-12-02,1.0759264614527722,-0.3478290747499312
2023-12-03,0.35017184902499093,-0.34086680215964404
2023-12-04,0.6335758231562828,-0.4607124220454165
2023-12-05,0.6333633034981033,-0.5416698226425927
2023-12-06,-0.8251361467666406,-0.7096347824232405
2023-12-07,1.6273551983219288,-0.50684391100426
2023-12-08,-0.014901697994514648,-0.5060458438191828
2023-12-09,-0.24778808960091664,-0.5076457005827398
2023-12-10,0.11230005594172991,-0.5078298251606005
2023-12-11,-1.6253233337394544,-0.3942878236171601
2023-12-12,-0.3267479521163898,-0.6889348352969764
2023-12-13,0.7522146756717366,-0.6451506594896141
2023-12-14,0.6971451615668568,-0.6122778186492057
2023-12-15,-1.261689716341344,-0.42733284613649214
2023-12-16,0.07114598435783132,-0.4433755684788542
2023-12-17,-0.43064931639539566,-0.455563137558949
2023-12-18,0.2486760613601579,-0.45686944395458895
2023-12-19,-0.5509827737788501,-0.4325577100957261
2023-12-20,0.2948184576341345,-0.4326874841703659
